ca_score,participation,exam_score,total,performance
11,0,23,34,Fail
28,4,60,92,Distinction
11,2,21,34,Fail
22,5,46,73,Distinction
12,3,45,60,Pass
18,4,42,64,Pass
21,4,50,75,Distinction
18,4,28,50,Pass
23,3,61,87,Distinction
1,0,12,13,Fail
23,3,54,80,Distinction
12,3,46,61,Pass
17,3,47,67,Pass
20,4,44,68,Pass
10,2,29,41,At Risk
0,0,27,27,Fail
11,1,48,60,Pass
18,4,32,54,Pass
19,1,40,60,Pass
26,4,64,94,Distinction
4,2,11,17,Fail
16,4,33,53,Pass
15,1,41,57,Pass
12,1,28,41,At Risk
24,4,54,82,Distinction
22,1,35,58,Pass
17,4,49,70,Distinction
10,1,29,40,At Risk
29,5,59,93,Distinction
19,2,42,63,Pass
19,3,42,64,Pass
20,4,50,74,Distinction
12,2,27,41,At Risk
10,2,37,49,Pass
24,4,58,86,Distinction
3,2,21,26,Fail
4,2,14,20,Fail
26,5,50,81,Distinction
29,3,64,96,Distinction
21,4,25,50,Pass
15,2,45,62,Pass
24,4,62,90,Distinction
28,4,52,84,Distinction
16,4,37,57,Pass
21,5,45,71,Distinction
15,4,44,63,Pass
30,3,54,87,Distinction
10,2,14,26,Fail
22,1,27,50,Pass
10,0,18,28,Fail
21,4,45,70,Distinction
5,2,13,20,Fail
20,5,59,84,Distinction
19,3,27,49,Pass
14,1,34,49,Pass
13,1,43,57,Pass
19,1,35,55,Pass
12,3,48,63,Pass
11,3,29,43,At Risk
14,3,45,62,Pass
23,4,61,88,Distinction
15,1,38,54,Pass
10,0,17,27,Fail
15,2,48,65,Pass
24,3,53,80,Distinction
18,1,46,65,Pass
12,1,31,44,At Risk
17,4,46,67,Pass
10,1,38,49,Pass
3,1,15,19,Fail
10,2,14,26,Fail
25,4,50,79,Distinction
17,2,37,56,Pass
4,0,5,9,Fail
15,2,35,52,Pass
17,3,46,66,Pass
22,4,41,67,Pass
13,3,40,56,Pass
20,3,40,63,Pass
27,5,65,97,Distinction
28,5,63,96,Distinction
9,0,14,23,Fail
18,4,39,61,Pass
23,5,65,93,Distinction
20,3,54,77,Distinction
22,4,55,81,Distinction
26,4,46,76,Distinction
11,2,48,61,Pass
3,2,4,9,Fail
14,2,49,65,Pass
27,5,52,84,Distinction
7,0,29,36,Fail
9,2,27,38,Fail
22,1,28,51,Pass
5,2,17,24,Fail
17,3,48,68,Pass
1,2,22,25,Fail
14,4,30,48,Pass
27,5,56,88,Distinction
16,1,25,42,At Risk
19,1,47,67,Pass
7,1,8,16,Fail
8,1,18,27,Fail
20,5,54,79,Distinction
16,3,37,56,Pass
28,4,65,97,Distinction
18,3,36,57,Pass
12,4,31,47,Pass
1,2,6,9,Fail
18,4,32,54,Pass
0,0,4,4,Fail
22,1,38,61,Pass
13,4,31,48,Pass
30,4,50,84,Distinction
24,4,47,75,Distinction
12,1,1,14,Fail
25,5,52,82,Distinction
15,2,27,44,At Risk
30,3,49,82,Distinction
8,2,8,18,Fail
14,2,44,60,Pass
5,0,12,17,Fail
21,3,64,88,Distinction
10,2,28,40,At Risk
22,1,48,71,Distinction
11,3,37,51,Pass
27,5,59,91,Distinction
26,3,61,90,Distinction
26,4,62,92,Distinction
16,1,42,59,Pass
11,1,35,47,Pass
4,2,16,22,Fail
13,3,33,49,Pass
21,3,45,69,Pass
3,1,0,4,Fail
28,4,59,91,Distinction
2,2,1,5,Fail
11,0,12,23,Fail
8,2,29,39,Fail
20,4,34,58,Pass
20,3,35,58,Pass
10,4,45,59,Pass
16,4,30,50,Pass
15,1,37,53,Pass
25,3,61,89,Distinction
10,0,20,30,Fail
27,5,51,83,Distinction
10,2,43,55,Pass
11,1,5,17,Fail
22,4,61,87,Distinction
19,1,44,64,Pass
10,1,28,39,Fail
12,2,27,41,At Risk
7,2,27,36,Fail
11,4,32,47,Pass
21,4,48,73,Distinction
13,2,36,51,Pass
7,2,23,32,Fail
22,1,26,49,Pass
7,1,21,29,Fail
19,4,32,55,Pass
12,4,29,45,Pass
10,0,14,24,Fail
18,1,36,55,Pass
11,3,42,56,Pass
26,5,60,91,Distinction
10,2,49,61,Pass
12,2,45,59,Pass
10,4,46,60,Pass
12,0,19,31,Fail
19,2,38,59,Pass
18,1,48,67,Pass
4,1,16,21,Fail
11,2,22,35,Fail
11,1,27,39,Fail
16,4,27,47,Pass
19,1,44,64,Pass
6,2,28,36,Fail
29,3,65,97,Distinction
17,3,37,57,Pass
14,1,40,55,Pass
27,5,55,87,Distinction
21,3,37,61,Pass
22,1,46,69,Pass
18,3,45,66,Pass
1,2,19,22,Fail
0,2,21,23,Fail
0,0,24,24,Fail
15,2,45,62,Pass
15,2,27,44,At Risk
17,2,39,58,Pass
5,1,12,18,Fail
0,1,12,13,Fail
27,3,59,89,Distinction
30,3,61,94,Distinction
17,3,30,50,Pass
19,1,47,67,Pass
19,3,29,51,Pass
15,2,42,59,Pass
20,3,58,81,Distinction
26,5,59,90,Distinction
20,3,36,59,Pass
12,3,44,59,Pass
19,4,36,59,Pass
20,5,55,80,Distinction
22,3,50,75,Distinction
14,4,39,57,Pass
13,4,40,57,Pass
23,3,57,83,Distinction
12,2,32,46,Pass
20,3,33,56,Pass
11,4,31,46,Pass
22,5,54,81,Distinction
12,2,34,48,Pass
11,1,45,57,Pass
21,2,35,58,Pass
26,3,50,79,Distinction
23,3,50,76,Distinction
11,3,32,46,Pass
18,1,34,53,Pass
17,3,27,47,Pass
30,3,48,81,Distinction
10,1,43,54,Pass
15,4,30,49,Pass
10,4,46,60,Pass
30,3,54,87,Distinction
11,2,13,26,Fail
10,3,33,46,Pass
9,2,28,39,Fail
3,2,29,34,Fail
21,3,60,84,Distinction
19,2,34,55,Pass
9,1,22,32,Fail
28,4,47,79,Distinction
11,2,27,40,At Risk
4,0,21,25,Fail
26,3,46,75,Distinction
29,4,55,88,Distinction
12,2,27,41,At Risk
9,1,24,34,Fail
29,3,48,80,Distinction
21,4,59,84,Distinction
16,3,39,58,Pass
17,4,36,57,Pass
20,1,41,62,Pass
4,0,25,29,Fail
11,1,28,40,At Risk
14,2,47,63,Pass
9,2,12,23,Fail
24,3,47,74,Distinction
13,3,37,53,Pass
14,3,47,64,Pass
3,0,5,8,Fail
11,2,40,53,Pass
5,1,12,18,Fail
11,1,35,47,Pass
22,4,46,72,Distinction
13,1,31,45,Pass
5,1,19,25,Fail
18,4,33,55,Pass
11,2,29,42,At Risk
10,0,21,31,Fail
22,4,26,52,Pass
8,1,6,15,Fail
9,1,2,12,Fail
22,3,43,68,Pass
21,5,64,90,Distinction
11,4,48,63,Pass
16,1,35,52,Pass
20,3,45,68,Pass
29,5,62,96,Distinction
10,1,35,46,Pass
20,5,65,90,Distinction
21,4,48,73,Distinction
9,2,7,18,Fail
10,0,2,12,Fail
19,3,41,63,Pass
20,4,64,88,Distinction
18,4,34,56,Pass
17,1,37,55,Pass
15,2,39,56,Pass
12,1,24,37,Fail
30,5,53,88,Distinction
29,3,46,78,Distinction
18,4,33,55,Pass
18,2,40,60,Pass
11,1,0,12,Fail
13,4,46,63,Pass
18,2,26,46,Pass
11,0,27,38,Fail
6,0,9,15,Fail
14,2,48,64,Pass
19,4,46,69,Pass
3,0,3,6,Fail
22,4,48,74,Distinction
20,3,48,71,Distinction
15,3,47,65,Pass
10,2,4,16,Fail
17,3,38,58,Pass
15,4,40,59,Pass
26,4,51,81,Distinction
11,0,8,19,Fail
21,2,29,52,Pass
3,2,7,12,Fail
20,1,45,66,Pass
10,4,43,57,Pass
6,0,26,32,Fail
24,3,50,77,Distinction
25,4,57,86,Distinction
30,3,52,85,Distinction
3,2,10,15,Fail
25,5,60,90,Distinction
22,3,65,90,Distinction
10,2,44,56,Pass
22,4,43,69,Pass
21,3,29,53,Pass
21,4,37,62,Pass
16,4,43,63,Pass
15,3,37,55,Pass
28,4,64,96,Distinction
22,2,35,59,Pass
3,1,25,29,Fail
9,2,10,21,Fail
18,4,48,70,Distinction
6,2,11,19,Fail
16,2,35,53,Pass
20,3,30,53,Pass
12,4,30,46,Pass
15,1,34,50,Pass
2,2,19,23,Fail
17,3,35,55,Pass
23,3,56,82,Distinction
21,3,43,67,Pass
24,3,57,84,Distinction
25,4,64,93,Distinction
20,4,41,65,Pass
19,3,46,68,Pass
22,3,42,67,Pass
18,2,49,69,Pass
2,0,3,5,Fail
2,1,27,30,Fail
23,3,57,83,Distinction
7,0,18,25,Fail
10,2,20,32,Fail
13,2,30,45,Pass
18,2,31,51,Pass
11,1,33,45,Pass
8,2,15,25,Fail
15,3,44,62,Pass
21,1,26,48,Pass
3,2,21,26,Fail
0,2,29,31,Fail
22,3,32,57,Pass
12,4,42,58,Pass
20,3,38,61,Pass
11,0,15,26,Fail
20,3,28,51,Pass
16,4,38,58,Pass
26,3,48,77,Distinction
5,2,1,8,Fail
13,2,45,60,Pass
12,0,25,37,Fail
29,3,50,82,Distinction
17,4,46,67,Pass
11,3,29,43,At Risk
9,0,9,18,Fail
25,4,51,80,Distinction
